,number,title,Autores,type_bill,year,period,state_bill,authors_positions,authors_count
0,PL331-22,PL 331-23 Seguridad Digital,"['ANA MARÍA CASTAÑEDA GÓMEZ', 'DAVID LUNA SÁNCHEZ;  INGRID MARLEN SOGAMOSO ALFONSO']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.6666666666666666,3.0
2,PL321-22,PL 321-23 Servicios Aereos,['ALEX JAVIER FLÓREZ HERNÁNDEZ.'],Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
3,PL320-22,PL 320-23 Servicio Público de EnergiaDescargar ,"['JOSÉ DAVID NAME CARDOZO', 'EDGAR DE JESÚS DÍAZ CONTRERAS', 'JAIME ENRIQUE DURÁN BARRERA', 'ISABEL CRISTINA ZULETA LÓPEZ', 'CATALINA DEL SOCORRO PÉREZ PÉREZ', 'INTI RAUL ASPRILLA REYES', 'ANDREA PADILLA VILLARRAGA', 'YULY ESMERALDA HERNÁNDEZ\xa0SILVA']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.5,8.0
4,PL319-22,PL 319-23 Violencia Vicaria,['NADIA GEORGETTE BLEL SCAFF'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,1.0
5,PL309-22,PL 309-23 Corridas de Toros,"['Ministro de Cultura', 'Dr. JORGE IGNACIO ZORRO; con el acompañamiento de los Honorables Senadores ESMERALDA HERNÁNDEZ SILVA', 'ALEXANDER LÓPEZ MAYA', 'JONATHAN PULIDO HERNÁNDEZ', 'SANDRA RAMÍREZ LOBO SILVA', 'AÍDA YOLANDA AVELLA ESQUIVEL', 'OMAR DE JESUS  RESTREPO CORREA', 'IMELDA DAZA COTES', 'JULIAN GALLO CUBILLOS', 'ARIEL FERNANDO AVILA MARTÍNEZ', 'ISABEL CRISTINA ZULETA LÓPEZ', 'GLORIA INÉS FLOREZ SCHNEIDER', 'PAULINO RIASCOS RIASCOS', 'ALEX XAVIER FLOREZ HERNÁNDEZ', 'CATALINA PÉREZ PÉREZ', 'PIEDAD ESNEDA CORDOBA RUÍZ', 'ROBERT DAZA GUEVARA', 'IVAN CEPEDA CASTRO', 'CLARA EUGENIA LÓPEZ OBREGÓN', 'POLIVIO ROSALES CADENA', 'AÍDA QUILCUE VIVAS', 'WILSON ARIAS CASTILLO', 'SANDRA YANETH JAIMES CRUZ', 'MARTHA ISABEL PERALTA EPIEYÚ', 'ANTONIO JOSÉ CORREA JIMÉNEZ', 'PEDRO HERNANDO FLOREZ PORRAS', 'INTI ASPRILLA REYES', 'MARIA JOSÉ PIZARRO RODRÍGUEZ', 'JAIRO ALBERTO CASTELLANOS SERRANO', 'NICOLAS ALBEIRO ECHEVERRY; y los Honorables Representantes DUVALIER SANCHEZ ARANGO', 'MARIA DEL MAR PIZARRO', 'ERICK ADRIAN VELASCO BURBANO', 'SANTIAGO OSORIO MARIN', 'JORGE ANDRES CANCIMANCE LÓPEZ', 'JORGE ALEJANDRO OCAMPO GIRALDO', 'MARIA FERNANDA CARRASCAL ROJAS', 'MARTHA LISBETH ALFONSO JURADO', 'EDUARD GIOVANNY SARMIENTO HIDALGO', 'LUVI KATHERINE MIRANDA PEÑA', 'LEIDER ALEXANDRA VÁSQUEZ OCHOA', 'DAVID RICARDO RACERO MAYORCA', 'DAVID ALEJANDRO\xa0TORO RAMÍREZ', 'JUAN CARLOS LOZADA VARGAS.']",Proyecto de ley,2022-2023,2022 - 2026,ley,0.9302325581395349,43.0
6,PL308-22,PL 308-23 Ley Cero,"['KARINA ESPINOSA OLIVER', 'OSCAR MAURICIO GIRALDO HERNÁNDEZ', 'LILIANA ESTHER BITAR CASTILLA', 'BEATRIZ LORENA RIOS CUELLAR', 'LAURA ESTER FORTICH SANCHEZ', 'SOLEDAD TAMAYO TAMAYO', 'GUIDO ECHEVERRI PIEDRAHITA', 'CLAUDIA MARIA PÉREZ GIRALDO', 'MAURICIO GOMEZ AMIN', 'JOHN JAIRO ROLDÁN AVENDAÑO', 'FABIO RAÚL AMÍN SALEME', 'GUSTAVO ADOLFO MORENO HURTADO', 'JAIRO ALBERTO CASTELLANOS SERRANO', 'JULIO ALBERTO ELÍAS VIDAL', 'JULIO ELÍAS CHAGUI FLÓREZ', 'ROBERT DAZA GUEVARA', 'ANTONIO CORREA JIMÉNEZ', 'ESTEBAN QUINTERO CARDONA', 'ANDRÉS FELIPE GUERRA HOYOS', 'JOSÉ VICENTE CARREÑO CASTRO', 'JOSUÉ ALIRIO BARRERA RODRÍGUEZ', 'NICOLAS ALBEIRO ECHEVERRY ALVARÁN;   LUIS MIGUEL LOPEZ ARISTIZABAL', 'CESAR CRISTIAN GOMEZ CASTRO', 'HAIVER RINCON GUTIERREZ', 'MARELEN CASTILLO TORRES', 'MÓNICA KARINA BOCANEGRA PANTOJA', 'HERNANDO GONZALEZ', 'INGRID MARLEN SOGAMOSO ALFONSO', 'JHOANY CARLOS ALBERTO PALACIOS MOSQUERA', 'OLGA LUCIA VELASQUEZ NIETO', 'WILMER YESID GUERRERO AVENDAÑO', 'LUIS CARLOS OCHOA  TOBÓN', 'DORINA HERNANDEZ PALOMINO', 'YULIETH ANDREA SÁNCHEZ CARREÑO', 'LINA MARÍA GARRIDO MARTÍN', 'FLORA PERDOMO ANDRADE y otras firmas ilegibles.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.05405405405405406,37.0
7,PL306-22,PL 306-23 Contraloría,"['JUAN FELIPE LEMOS URIBE', 'EDGAR DE JESÚS DÍAZ CONTRERAS', 'CARLOS MARIO FARELO DAZA', 'ANTONIO LUIS ZABARAIN GUEVARA', 'JOSÉ LUIS PÉREZ OYUELA', 'SANDRA RAMIREZ LOBO SILVA', 'PAOLA ANDREA HOLGUIN MORENO', 'JUAN PABLO GALLO MAYA', 'JULIAN GALLO CUBILLOS', 'IMELDA DAZA COTES', 'JAIRO ALBERTO CASTELLANOS SERRANO', 'DIDIER LOBO CHINCHILLA', 'ALEJANDRO CARLOS CHACON CAMARGO', 'OMAR DE JESÚS RESTREPO CORREA', 'JUAN SAMY MERHEG MARÚN;  JULIAN PEINADO RAMIREZ', 'SARAY ELENA ROBAYO BECHARA', 'OLGA LUCIA VELASQUEZ NIETO', 'JUAN LORETO GOMEZ SOTO', 'JUAN FERNANDO ESPINAL RAMIREZ', 'JORGE ALBERTO CERCHIARO FIGUEROA', 'LEONARDO GALLEGO ARROYAVE', 'ANIBAL GUSTAVO HOYOS FRANCO.']",Proyecto de ley,2022-2023,2022 - 2026,ley,0.0,23.0
8,PL305-22,PL 305-23 Administraciones Distritales,"['JORGE ELIECER TAMAYO MARULANDA', 'JOSÉ ELIÉCER SALAZAR LÓPEZ', 'ALEXANDER GUARÍN SILVA', 'MILENE JARAVA DÍAZ', 'ASTRID SÁNCHEZ MONTES DE OCA', 'HERNANDO GUIDA PONCE', 'JORGE ALBERTO CERCHIARO FIGUEROA', 'DIEGO FERNANDO CAICEDO NAVAS', ""ARMANDO ANTONIO ZABARAIN D'ARCE"", 'DOLCEY OSCAR TORRES ROMERO', 'JORGE ALEJANDRO OCAMPO GIRALDO', 'JULIAN DAVID LÓPEZ TENORIO', 'CRISTOBAL CAICEDO ANGULO', 'OLGA LUCÍA VELÁSQUEZ NIETO', 'LUIS ALBERTO ALBAN URBANO', 'JAIRO REINALDO CALA SUÁREZ', 'JULIAN PEINADO RAMIREZ', 'OSCAR HERNÁN SÁNCHEZ LEÓN', 'HERACLITO LANDINEZ SUÁREZ', 'GLORIA ELENA ARIZABALETA CORRAL', 'JUAN DANIEL PEÑUELA CALVACHE y otras firmas ilegibles.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.38095238095238093,21.0
9,PL304-22,PL 304-23 Medalla Edwin KemmererDescargar ,"['JORGE BENEDETTI MARTELO', 'ROY BARRERAS MONTEALEGRE', 'GLORIA FLOREZ SCHENIDER', 'NICOLAS ECHEVERRY ALVARAN', 'JOSÉ LUIS PÉREZ OYUELA', 'CARLOS FARELO DAZA', 'EFRAIN CEPEDA SARABIA', 'DAVID LUNA SÁNCHEZ', 'HONORIO HENRIQUEZ PINEDO', 'MAURICIO GOMEZ AMIN', 'MAURICIO GIRALDO HERNANDEZ', 'CARLOS ABRAHAM JIMENEZ', 'EDGAR DIAZ CONTRERAS', 'VICENTE CARREÑO CASTRO', 'CARLOS FERNANDO MOTOA', 'DIDIER LOBO CHINCHILLA', 'ESTHER BITAR CASTILLA', 'GERMÁN BLANCO ALVAREZ', 'CARLOS JULIO GONZALEZ VILLA', 'PAOLA HOLGUIN MORENO', 'JUANA LONDOÑO JARAMILLO', 'RODRIGO TOVAR VÉLEZ', 'ERIKA SANCHEZ PINTO', 'ALVARO LONDOÑO LUGO', 'JHOANY PALACIOS MOSQUERA', 'ELIZABETH JAY-PANG DIAZ', 'MONICA KARINA BOCANEGRA PANTOJA', 'GERSEL PEREZ ALTAMIRANDA', 'JUAN GOMEZ GONZALEZ.']",Proyecto de ley,2022-2023,2022 - 2026,ley,-0.3793103448275862,29.0
10,PL302-22,PL 302-23 Contratación,"['HONORIO MIGUEL HENRÍQUEZ PINEDO', 'ENRIQUE CABRALES BAQUERO', 'ANDRES FELIPE GUERRA HOYOS', 'JOSUE ALIRIO BARRERA RODRIGUEZ', 'PAOLA ANDREA HOLGUIN MORENO', 'BEATRIZ LORENA RIOS CUELLAR;  JUAN FERNANDO ESPINAL RAMÍREZ', 'EDUAR ALEXIS TRIANA RINCON', 'YULIETH ANDREA SANCHEZ CARREÑO', 'HERNAN DARIO CADAVID MARQUEZ', 'JOSE JAIME USCATEGUI PASTRANA', 'YENICA SUGEIN ACOSTA INFANTE', 'HUGO DANILO LOZANO PIMIENTO', 'JUAN FELIPE CORZO ALVAREZ.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,14.0
