No Senado,No Cámara,Objeto de proyecto,Título,Autor,Origen,Fecha de radicación,Comisión,Estado,Contenido,Observaciones,url,Cuatrienio,Legislatura
001 22,325 22,POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 1 DE LA LEY 1335 DE 2009 Y SE DICTAN OTRAS DISPOSICIONES PROHIBICIÓN DE CONSUMO DE TABACO EN MENORES DE EDAD VAPEADORES,MODIFICA EL ARTÍCULO 1 DE LA LEY 1335 DE 2009 Y SE DICTAN OTRAS DISPOSICIONES PROHIBICIÓN DE CONSUMO DE TABACO EN MENORES DE EDAD VAPEADORES,"['NORMA HURTADO SANCHEZ', ' JOSÉ DAVID NAME CARDOZO']",SENADO DE LA REPUBLICA,20 Julio 2022,SEPTIMA,LEY,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/1,2022 - 2026,2022 - 2023
002 22,424 23,POR MEDIO DE LA CUAL SE ORDENA LA MODERNIZACIÓN Y ACTUALIZACIÓN PERMANENTE DEL PROGRAMA AMPLIADO DE INMUNIZACIONES PAI Y SE DICTAN OTRAS DISPOSICIONES .,ORDENA LA MODERNIZACIÓN Y ACTUALIZACIÓN PERMANENTE DEL PROGRAMA AMPLIADO DE INMUNIZACIONES PAI Y SE DICTAN OTRAS DISPOSICIONES .,['NORMA HURTADO SANCHEZ'],SENADO DE LA REPUBLICA,20 Julio 2022,SEPTIMA,SANCIÓN PRESIDENCIAL,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/2,2022 - 2026,2022 - 2023
003 22 Acum 182 22,232 23,"POR EL CUAL SE REFORMA LA LEGISLACIÓN EN MATERIA DE DEPORTE, RECREACIÓN, ACTIVIDAD FÍSICA Y APROVECHAMIENTO DEL TIEMPO LIBRE Y SE DICTAN OTRAS DISPOSICIONES",POR EL CUAL SE REFORMA LA LEGISLACIÓN EN MATERIA DE DEPORTE,['NORMA HURTADO SÁNCHEZ'],SENADO DE LA REPUBLICA,20 Julio 2022,SEPTIMA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/3,2022 - 2026,2022 - 2023
004 22,,"POR MEDIO DEL CUAL SE MODIFICA LA LEY 769 DE 2002, CÓDIGO NACIONAL DE TRÁNSITO TERRESTRE, Y SE DICTAN OTRAS DISPOSICIONES LEY GUILLERMO VIECCO .",POR MEDIO DEL CUAL SE MODIFICA LA LEY 769 DE 2002,['NORMA HURTADO SANCHEZ'],SENADO DE LA REPUBLICA,20 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/4,2022 - 2026,2022 - 2023
005 22,454 24,POR LA CUAL SE REGULA EN LA LEY 1448 DE 2011 LA SITUACIÓN JURÍDICA DE LOS SEGUNDOS OCUPANTES VULNERABLES DE PREDIOS OBJETO DE RESTITUCIÓN,REGULA EN LA LEY 1448 DE 2011 LA SITUACIÓN JURÍDICA DE LOS SEGUNDOS OCUPANTES VULNERABLES DE PREDIOS OBJETO DE RESTITUCIÓN,['MARIA FERNANDA CABAL MOLINA'],SENADO DE LA REPUBLICA,20 Julio 2022,PRIMERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/5,2022 - 2026,2022 - 2023
006 22 Acum. PL 095 22 y 109 22,320 22,POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS PARA PREVENIR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES EN LA VIDA POLÍTICA Y SE DICTAN OTRAS DISPOSICIONES .,ESTABLECEN MEDIDAS PARA PREVENIR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES EN LA VIDA POLÍTICA Y SE DICTAN OTRAS DISPOSICIONES .,"['H.S NADIA BLEL SCAFF', ' ANGELICA LOZANO', ' EFRAÍN CEPEDA SARABIA', ' SOLEDAD TAMAYO TAMAYO', ' JUAN SAMY MERHEG MARUN', ' MIGUEL ANGEL BARRETO CASTILLO', ' CARLOS ANDRES TRUJILLO', ' DIELA LILIANA BENAVIDES SOLARTE', ' JOSE ALFREDO MARIN LOZANO', ' LILIANA BITAR CASTILLA', ' GERMAN BLANCO ALVAREZ', ' MARCOS DANIEL PINEDA GARCÍA.']",SENADO DE LA REPUBLICA,20 Julio 2022,PRIMERA,CORTE CONSTITUCIONAL,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/6,2022 - 2026,2022 - 2023
007 22,,"POR MEDIO DEL CUAL SE PROMUEVE LA AGROECOLOGÍA EN COLOMBIA, SE CONFORMA LA MESA TÉCNICA PARA LA FORMULACIÓN DE UN PLAN NACIONAL DE AGROECOLOGÍA PNA, SE PLANTEAN ESTRATEGIAS E INCENTIVOS PARA LA PRODUCCIÓN, COMERCIALIZACIÓN, TRANSFORMACIÓN Y CONSUMO DE PRODUCTOS AGROECOLÓGICOS EN EL TERRITORIO NACIONAL Y SE DICTAN OTRAS DISPOSICIONES",POR MEDIO DEL CUAL SE PROMUEVE LA AGROECOLOGÍA EN COLOMBIA,['CÉSAR AUGUSTO PACHÓN ACHURY.'],SENADO DE LA REPUBLICA,20 Julio 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/7,2022 - 2026,2022 - 2023
008 22,,"POR MEDIO DE LA CUAL SE ESTABLECEN MECANISMOS PARA DETENER Y EVITAR LA PÉRDIDA DE LA BIODIVERSIDAD EN EL TERRITORIO NACIONAL, Y SE DICTAN OTRAS DISPOSICIONES",ESTABLECEN MECANISMOS PARA DETENER Y EVITAR LA PÉRDIDA DE LA BIODIVERSIDAD EN EL TERRITORIO NACIONAL,['H.S NICOLAS ALBEIRO ECHEVERRY ALVARAN H.R ANDRES FELIPE JIMENEZ VARGAS'],SENADO DE LA REPUBLICA,20 Julio 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/8,2022 - 2026,2022 - 2023
009 22,,"POR MEDIO DE LA CUAL SE CREA EL FONDO DE EMPRENDIMIENTO PARA LA MUJER, FEM, COMO INSTRUMENTO PARA IMPULSAR EL EMPRENDIMIENTO, EL EMPLEO Y LA CULTURA FINANCIERA Y SE DICTAN OTRAS DISPOSICIONES",CREA EL FONDO DE EMPRENDIMIENTO PARA LA MUJER,['LILIANA BITAR CASTILLA'],SENADO DE LA REPUBLICA,20 Julio 2022,TERCERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/9,2022 - 2026,2022 - 2023
010 22,,POR MEDIO DE LA CUAL SE ADOPTAN MEDIDAS SOBRE EL SEGURO OBLIGATORIO DE DAÑOS CORPORALES CAUSADOS A LAS PERSONAS EN ACCIDENTES DE TRANSITO,ADOPTAN MEDIDAS SOBRE EL SEGURO OBLIGATORIO DE DAÑOS CORPORALES CAUSADOS A LAS PERSONAS EN ACCIDENTES DE TRANSITO,['JOSE VICENTE CARREÑO CASTRO'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/10,2022 - 2026,2022 - 2023
