title,url,type_bill,year,period
277-24 SEDE PRINCIPAL DE LA CDA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3400-proyecto-de-ley-277-de-2024,Proyecto de ley,2024-2025,2022 - 2026
276-24 RESTITUCIÓN DE TIERRAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3399-proyecto-de-ley-276-de-2024,Proyecto de ley,2024-2025,2022 - 2026
275-24 PERSONAS CON DISCAPACIDAD,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3398-proyecto-de-ley-275-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 274-24 HONORES MUNICIPIO GUATAPÉ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3397-proyecto-de-ley-274-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 273-24 CHORROS BLANCOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3396-proyecto-de-ley-273-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 272-24 CÓDIGO NACIONAL Y CONVIVENCIA CIUDADANA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3395-proyecto-de-ley-272-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 271-24 AMPARO ALIMENTARIO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3394-proyecto-de-ley-271-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 270-24 CONVIVENCIA Y SEGURIDAD EN TERRITORIOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3393-proyecto-de-ley-270-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 269-24 POPAYÁN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3392-proyecto-de-ley-269-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 267-24 PROTECCIÓN ANIMAL EN TURISMO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3391-proyecto-de-ley-267-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 266-24 HOMENAJE A JUAN BAUTISTA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3390-proyecto-de-ley-266-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 265-24 FONDO PREVISIÓN SOCIAL DEL CONGRESO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3389-proyecto-de-ley-265-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 264-24 CONCIENCIA FINANCIERA Y TRIBUTARIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3388-proyecto-de-ley-264-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 262-24 GUARDAPARQUES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3387-proyecto-de-ley-262-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 261-24 GANADERIA SOSTENIBLE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3386-proyecto-de-ley-261-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 260-24 USO DE CELULARES EN COLEGIOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3385-proyecto-de-ley-260-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 259-24 LICENCIA MATERNIDAD,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3384-proyecto-de-ley-259-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 258-24 CONTRATISTAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3383-proyecto-de-ley-258-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 257-24 CESANTIAS PARA EMPRENDIMIENTO MUJERES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3382-proyecto-de-ley-257-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 256-2024 REGIÓN METROPOLITANA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3381-proyecto-de-ley-256-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 254-24 CONVENCIÓN GESTIÓN COMBUSTIBLE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3380-proyecto-de-ley-254-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 253-24 SISTEMA DE FORMACIÓN DOCENTE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3379-proyecto-de-ley-253-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 252-24 Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3378-proyecto-de-ley-252-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 251-24 PASOS DE FAUNA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3377-proyecto-de-ley-251-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 247-24 LEY PROTECCIÓN VIOLENCIA GENERO DIGITAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3376-proyecto-de-ley-247-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 246-24 HIDROCARBUROS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3375-proyecto-de-ley-246-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 245-24S 300-24C LEY DE FINANCIAMIENTO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3372-proyecto-de-ley-245-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 244-24 FAMILIAS GUARDABOSQUES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3371-proyecto-de-ley-244-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 243-24 RAFAEL NUÑEZ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3370-proyecto-de-ley-243-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 242-24 PRIMA ACTIVIDAD POLICIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3369-proyecto-de-ley-242-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 241-24 UNIVERSIDAD DEL VALLE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3368-proyecto-de-ley-241-de-2024,Proyecto de ley,2024-2025,2022 - 2026
