No Cámara,No Senado,Nombre proyecto,Tipo de ley,Autores,Estado,Comisión,Origen,Legislatura,Título,Autor,No de proyecto,Fecha de radicación,Tipo,Contenido,Objeto de proyecto,Observaciones,Fecha radicación Cámara,Fecha radicación Senado,url
448/2024C,062/2023S,VIOLENCIA VICARIA - LEY GABRIEL ESTEBAN,Ley Ordinaria,"['Ruth Amelia Caycedo Rosero', ' Delcy Esperanza Isaza BuenaventuraNadya Georgette Blel Scaf', ' Germán Alcides Blanco Álvarez', ' Liliana Esther Bitar Castilla', ' Soledad Tamayo Tamayo', ' Nicolás Albeiro Echeverri Alvarán', ' Miguel Angel Barreto Castillo', ' Claudia María Pérez Giraldo', ' Sor Berenice Bedoya Pérez', ' Karina Espinosa Oliver', ' Ana Maria Castañeda Gómez', ' Angélica lisbeth lozano correa', ' Efraín José Cepeda Sarabia', ' Carlos Mario Farelo Daza', ' Didier Lobo Chinchilla', ' Honorio Miguel Henríquez Pinedo', ' José Alfredo Marín Lozano', ' Beatriz Lorena Ríos Cuellar']",Trámite en Comisión,Comisión Primera Constitucional Permanente,Senado,2023 - 2024,Por medio del cual se dictan medidas para reconocer prevenir y sancionar violencia vicaria como una manifestación de violencia de género y se dictan otras disposiciones Ley Gabriel Esteban,"['Nadya Georgette Blel Scaf', 'Germán Alcides Blanco Álvarez', 'Liliana Esther Bitar Castilla', 'Soledad Tamayo Tamayo', 'Nicolás Albeiro Echeverri Alvarán', 'Miguel Angel Barreto Castillo', 'Claudia María Pérez Giraldo', 'Sor Berenice Bedoya Pérez', 'Karina Espinosa Oliver', 'Ana Maria Castañeda Gómez', 'Angélica lisbeth lozano correa', 'Efraín José Cepeda Sarabia', 'Carlos Mario Farelo Daza', 'Didier Lobo Chinchilla', 'Honorio Miguel Henríquez Pinedo', 'José Alfredo Marín Lozano', 'Beatriz Lorena Ríos Cuellar', 'Ruth Amelia Caycedo Rosero', 'Delcy Esperanza Isaza Buenaventura']",Cámara 448 2024C Senado 062 2023S,Cámara 2024 05 23 Senado 2023 08 02,Ley Ordinaria,,La presente ley tiene por objeto garantizar una vida libre de violencia mediante el reconocimiento prevención y sanción de la violencia vicaria como una manifestación de violencia de género Observaciones,,2024 05 23,2023 08 02,https://www.camara.gov.co/violencia-vicaria-ley-gabriel-esteban
447/2024C,,INFRAESTRUCTURA DE DATOS DEL ESTADO COLOMBIANO,Ley Ordinaria,"['Ministro de Tecnologías de la Información y las Comunicaciones  - Mauricio Lizcano  Julián David López Tenorio', ' Jaime Raúl Salamanca Torres', ' Jorge Eliécer Tamayo Marulanda', ' José Eliécer Salazar López', ' Cristóbal Caicedo Angulo', ' Diego Fernando Caicedo Navas', ' David Alejandro Toro Ramírez', ' Juliana Aray Franco', ' Pedro Baracutao García Ospina', ' Ingrid Marlen Sogamoso Alfonso', ' Ciro Antonio Rodríguez Pinzón', ' Hernando González', ' Alfredo Ape Cuello Baute', ' Hernando Guida Ponce', ' Milene Jarava Díaz', ' Ana Rogelia Monsalve Álvarez', ' Teresa De Jesús Enríquez Rosero', ' Jorge Alberto Cerchiaro Figueroa', ' Fernando David Niño MendozaJulio Elias Vidal', ' Alex Xavier Flórez Hernández', ' Gustavo Adolfo Moreno Hurtado', ' Pedro Hernando Flórez Porras', ' Robert Daza Guevara', ' Antonio José Correa Jiménez', ' Julio Elías Chagui Flórez', ' Sandra Ramírez Lobo', ' Omar de Jesús Restrepo Correa', ' Pablo Catatumbo Torres Victoria', ' Julián Gallo Cubillos']",Trámite en Comisión,Comisión Sexta o de Transportes y Comunicaciones,Cámara,2023 - 2024,Por medio de la cual se dictan disposiciones para el suministro intercambio y aprovechamiento de la infraestructura de datos del Estado colombiano IDEC y la interoperabilidad de los sistemas de información de las entidades públicas y se dictan otras disposiciones,"['Julio Elias Vidal', 'Alex Xavier Flórez Hernández', 'Gustavo Adolfo Moreno Hurtado', 'Pedro Hernando Flórez Porras', 'Robert Daza Guevara', 'Antonio José Correa Jiménez', 'Julio Elías Chagui Flórez', 'Sandra Ramírez Lobo', 'Omar de Jesús Restrepo Correa', 'Pablo Catatumbo Torres Victoria', 'Julián Gallo Cubillos', 'Julián David López Tenorio', 'Jaime Raúl Salamanca Torres', 'Jorge Eliécer Tamayo Marulanda', 'José Eliécer Salazar López', 'Cristóbal Caicedo Angulo', 'Diego Fernando Caicedo Navas', 'David Alejandro Toro Ramírez', 'Juliana Aray Franco', 'Pedro Baracutao García Ospina', 'Ingrid Marlen Sogamoso Alfonso', 'Ciro Antonio Rodríguez Pinzón', 'Hernando González', 'Alfredo Ape Cuello Baute', 'Hernando Guida Ponce', 'Milene Jarava Díaz', 'Ana Rogelia Monsalve Álvarez', 'Teresa De Jesús Enríquez Rosero', 'Jorge Alberto Cerchiaro Figueroa', 'Fernando David Niño Mendoza', 'Ministro de Tecnologías de la Información y las Comunicaciones Mauricio Lizcano']",Cámara 447 2024C Senado,Cámara 2024 05 22 Senado,Ley Ordinaria,,La presente ley tiene por objeto establecer las disposiciones para el suministro intercambio y aprovechamiento de la infraestructura de datos del Estado colombiano IDEC la interoperabilidad de los sistemas de información de las entidades públicas y organismos y la gobernanza gestión y disponibilidad de los datos básicos maestros de referencia y abiertos del Estado colombiano y con ello orientar la toma de decisiones del Gobierno Nacional y Territorial que permitan mejorar la calidad de vida de los ciudadanos y el desarrollo de las actividades sociales y económicas del país Observaciones Primer debate cámara PONENTES Coordinador es H R Ingrid Marlen Sogamoso Alfonso H R Hernando González H R Cristóbal Caicedo Angulo H R Dolcey Oscar Torres Romero H R Haiver Rincón Gutiérrez H R Diego Fernando Caicedo Navas Publicaciones,Primer debate cámara PONENTES Coordinador es H R Ingrid Marlen Sogamoso Alfonso H R Hernando González H R Cristóbal Caicedo Angulo H R Dolcey Oscar Torres Romero H R Haiver Rincón Gutiérrez H R Diego Fernando Caicedo Navas Publicaciones,2024 05 22,,https://www.camara.gov.co/infraestructura-de-datos-del-estado-colombiano
446/2024C,,CALYPSO PATRIMONIO,Ley Ordinaria,"['Elizabeth Jay-Pang Díaz', ' Gersel Luis Pérez Altamiranda', ' Erika Tatiana Sánchez Pinto', ' Gilma Díaz Arias', ' David Alejandro Toro Ramírez', ' Daniel Restrepo Carmona']",Trámite en Comisión,Comisión Sexta o de Transportes y Comunicaciones,Cámara,2023 - 2024,Por medio del cual se declara patrimonio cultural e inmaterial de la nación el género musical calypso el se impulsa salvaguarda fomenta y protege la gastronomía música y baile tradicional típico como elementos ancestrales tradicionales y propios del patrimonio colectivo del pueblo Raizal del Archipiélago de San Andrés Providencia y Santa Catalina y se dictan otras disposiciones,"['Elizabeth Jay Pang Díaz', 'Gersel Luis Pérez Altamiranda', 'Erika Tatiana Sánchez Pinto', 'Gilma Díaz Arias', 'David Alejandro Toro Ramírez', 'Daniel Restrepo Carmona']",Cámara 446 2024C Senado,Cámara 2024 05 21 Senado,Ley Ordinaria,,La presente ley tiene declara patrimonio cultural e inmaterial de la nación el género musical calypso se impulsa salvaguarda fomenta y protege la gastronomía Música y baile tradicional típico como elementos ancestrales tradicionales y propios del patrimonio colectivo del pueblo Raizal del Archipiélago de San Andrés Providencia y Santa Catalina y se dictan otras disposiciones Observaciones,,2024 05 21,,https://www.camara.gov.co/calypso-patrimonio
445/2024C,075/2022S,CONVENIO RESPONSABILIDAD CIVIL,Ley Ordinaria,"['Ministro de Relaciones Exteriores - Martha Lucia Ramirez Blanco ', ' Ministro de Defensa Nacional - Diego Andres Molano Aponte']",Trámite en Comisión,Comisión Segunda o de Relaciones Internacionales,Senado,2023 - 2024,POR MEDIO DEL CUAL SE APRUEBA EL CONVENIO INTERNACIONAL SOBRE RESPONSABILIDAD CIVIL NACIDA DE DAÑOS DEBIDOS A CONTAMINIACIÓN POR LOS HIDROCARBUROS PARA COMBUSTIBLE DE LOS BUQUES 2001 ADOPTADO EN LONDRES EL 23 DE MARZO DE 2001,"['Ministro de Relaciones Exteriores Martha Lucia Ramirez Blanco', 'Ministro de Defensa Nacional Diego Andres Molano Aponte']",Cámara 445 2024C Senado 075 2022S,Cámara 2024 05 21 Senado 2022 07 29,Ley Ordinaria,,Observaciones Primer debate cámara PONENTES Coordinador es H R Mónica Karina Bocanegra Pantoja H R Erika Tatiana Sánchez Pinto H R Elizabeth Jay Pang Díaz Publicaciones,Primer debate cámara PONENTES Coordinador es H R Mónica Karina Bocanegra Pantoja H R Erika Tatiana Sánchez Pinto H R Elizabeth Jay Pang Díaz Publicaciones,2024 05 21,2022 07 29,https://www.camara.gov.co/convenio-responsabilidad-civil
444/2024C,021/2024S,FUERZA AEROESPACIAL,Acto Legislativo,"['Ministro de Defensa Nacional - Ivan Velasquez Gomez David Alejandro Toro Ramírez', ' Elizabeth Jay-Pang Díaz', ' James Hermenegildo Mosquera Torres', ' Gerson Lisímaco Montaño Arizala', ' Haiver Rincón Gutiérrez', ' Gloria Liliana Rodríguez Valencia', ' Cristóbal Caicedo Angulo', ' José Jaime Uscátegui PastranaCarlos Alberto Benavides Mora', ' Nicolás Albeiro Echeverri Alvarán', ' Germán Alcides Blanco Álvarez', ' Alejandro Carlos Chacón Camargo', ' Gloria Inés Flórez Schneider']",Trámite en Comisión,Comisión Primera Constitucional Permanente,Senado,2023 - 2024,Por el cual se modifica el inciso 1 del artículo 217 de la Constitución Política de Colombia se cambia el nombre de la Fuerza Aérea por Fuerza Aeroespacial y se dictan otras disposiciones,"['Carlos Alberto Benavides Mora', 'Nicolás Albeiro Echeverri Alvarán', 'Germán Alcides Blanco Álvarez', 'Alejandro Carlos Chacón Camargo', 'Gloria Inés Flórez Schneider', 'David Alejandro Toro Ramírez', 'Elizabeth Jay Pang Díaz', 'James Hermenegildo Mosquera Torres', 'Gerson Lisímaco Montaño Arizala', 'Haiver Rincón Gutiérrez', 'Gloria Liliana Rodríguez Valencia', 'Cristóbal Caicedo Angulo', 'José Jaime Uscátegui Pastrana', 'Ministro de Defensa Nacional Ivan Velasquez Gomez']",Cámara 444 2024C Senado 021 2024S,Cámara 2024 05 21 Senado 2024 04 02,Acto Legislativo,,Observaciones Primer debate cámara Primera PONENTES Coordinador es H R Gabriel Becerra Yañez Publicaciones Ponencia Primer Debate Documento,Primer debate cámara Primera PONENTES Coordinador es H R Gabriel Becerra Yañez Publicaciones Ponencia Primer Debate Documento,2024 05 21,2024 04 02,https://www.camara.gov.co/fuerza-aeroespacial
443/2024C,060/2023S,PROGRAMA DE ALIMENTACION ESCOLAR,Ley Ordinaria,"['José Eliécer Salazar López', ' Teresa De Jesús Enríquez Rosero', ' Hernando Guida PonceAntonio José Correa Jiménez']",Trámite en Comisión,Comisión Sexta o de Transportes y Comunicaciones,Senado,2023 - 2024,POR MEDIO DEL CUAL SE ESTABLECEN DIRECTRICES PARA LA MEJORA DE LOS PROCESOS DE SELECCIÓN Y OPERACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE,"['Antonio José Correa Jiménez', 'José Eliécer Salazar López', 'Teresa De Jesús Enríquez Rosero', 'Hernando Guida Ponce']",Cámara 443 2024C Senado 060 2023S,Cámara 2024 05 21 Senado 2023 08 01,Ley Ordinaria,,Observaciones,,2024 05 21,2023 08 01,https://www.camara.gov.co/programa-de-alimentacion-escolar
442/2024C,080/2022S,CONVENIO LÍNEAS DE CARGA,Ley Ordinaria,"['Ministro de Relaciones Exteriores - Martha Lucia Ramirez Blanco ', ' Ministro de Defensa Nacional - Diego Andres Molano Aponte']",Trámite en Comisión,Comisión Segunda o de Relaciones Internacionales,Senado,2023 - 2024,POR MEDIO DE LA CUAL SE APRUEBA EL PROTOCOLO DE 1988 RELATIVO AL CONVENIO INTERNACIONAL SOBRE LINEAS DE CARGA 1966 ENMENDADO Y EL PROTOCOLO DE 1988 RELATIVO AL CONVENIO INTERNACIONAL PARA LA SEGURIDAD SOCIAL DE LA VIDA HUMANA EN EL MAR 1974 ENMENDADO ADOPTADOS EN LONDRES EL 11 DE NOVIEMBRE DE 1988,"['Ministro de Relaciones Exteriores Martha Lucia Ramirez Blanco', 'Ministro de Defensa Nacional Diego Andres Molano Aponte']",Cámara 442 2024C Senado 080 2022S,Cámara 2024 05 21 Senado 2022 07 20,Ley Ordinaria,,Observaciones Primer debate cámara PONENTES Coordinador es H R David Alejandro Toro Ramírez H R Mónica Karina Bocanegra Pantoja H R Jhon Jairo Berrio López Publicaciones,Primer debate cámara PONENTES Coordinador es H R David Alejandro Toro Ramírez H R Mónica Karina Bocanegra Pantoja H R Jhon Jairo Berrio López Publicaciones,2024 05 21,2022 07 20,https://www.camara.gov.co/convenio-lineas-de-carga
441/2024C,047/2022S,PRODUCCIÓN TRADICIONAL DE PANELA,Ley Ordinaria,"['Omar De Jesús Restrepo Correa', ' Jairo Reinaldo Cala Suárez', ' Luis Alberto Albán Urbano', ' Pedro Baracutao García Ospina', ' Carlos Alberto Carreño Marin', ' Germán José Gómez LópezJulián Gallo Cubillos', ' Sandra Ramírez Lobo', ' Imelda Daza Cotes']",Trámite en Comisión,Comisión Quinta Constitucional Permanente,Senado,2023 - 2024,Por medio del cual se crean medidas para la protección fomento fortalecimiento transformación y comercialización de la pequeña producción tradicional de panela y se dictan otras disposiciones,"['Julián Gallo Cubillos', 'Sandra Ramírez Lobo', 'Imelda Daza Cotes', 'Omar De Jesús Restrepo Correa', 'Jairo Reinaldo Cala Suárez', 'Luis Alberto Albán Urbano', 'Pedro Baracutao García Ospina', 'Carlos Alberto Carreño Marin', 'Germán José Gómez López']",Cámara 441 2024C Senado 047 2022S,Cámara 2024 05 21 Senado 2022 07 25,Ley Ordinaria,,La presente ley tiene por objeto proteger fomentar fortalecer la pequeña producción tradicional de panela su transformación y comercialización preservando las prácticas y saberes asociados a este tipo de producción Observaciones,,2024 05 21,2022 07 25,https://www.camara.gov.co/produccion-tradicional-de-panela
440/2024C,237/2022S,MATRICULA CERO,Ley Ordinaria,"['Yulieth Andrea Sánchez Carreño', ' Eduard Alexis Triana Rincón', ' Juan Fernando Espinal Ramírez', ' Edinson Vladimir Olaya Mancipe', ' Christian Munir Garcés Aljure', ' Óscar Darío Pérez PinedaEsteban Quintero Cardona', ' Ciro Alejandro Ramírez Cortes']",Trámite en Comisión,Comisión Sexta o de Transportes y Comunicaciones,Senado,2023 - 2024,POR MEDIO DEL CUAL SE ORDENA LA CREACIÓN DE LA POLÍTICA PÚBLICA DE AMPLIACIÓN DE LA OFERTA DE CUPOS DE EDUCACIÓN SUPERIOR Y SE CREA UN AUXILIO DE TRANSPORTE Y ALIMENTACIÓN PARA LA POLÍTICA DE MATRICULA 0 Y SE DICTAN OTRAS DISPOSICIONES,"['Esteban Quintero Cardona', 'Ciro Alejandro Ramírez Cortes', 'Yulieth Andrea Sánchez Carreño', 'Eduard Alexis Triana Rincón', 'Juan Fernando Espinal Ramírez', 'Edinson Vladimir Olaya Mancipe', 'Christian Munir Garcés Aljure', 'Óscar Darío Pérez Pineda']",Cámara 440 2024C Senado 237 2022S,Cámara 2024 05 20 Senado 2022 11 08,Ley Ordinaria,,Observaciones Primer debate cámara PONENTES Coordinador es H R Yulieth Andrea Sánchez Carreño Publicaciones Ponencia Primer Debate Gaceta No 696 de 2024,Primer debate cámara PONENTES Coordinador es H R Yulieth Andrea Sánchez Carreño Publicaciones Ponencia Primer Debate Gaceta No 696 de 2024,2024 05 20,2022 11 08,https://www.camara.gov.co/matricula-cero-2
439/2024C,,FESTIVAL TAMBORA SAN MARTIN DE LOBA - BOLIVAR,Ley Ordinaria,"['Dorina Hernández Palomino', ' Hernando GonzálezJorge Enrique Benedetti Martelo', ' Gloria Inés Flórez Schneider', ' Didier Lobo Chinchilla']",Trámite en Comisión,Comisión Sexta o de Transportes y Comunicaciones,Cámara,2023 - 2024,POR MEDIO DE LA CUAL SE RECONOCE COMO PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN EL FESTIVAL NACIONAL DE LA TAMBORA DEL MUNICIPIO DE SAN MARTÍN DE LOBA BOLÍVAR Y SE DICTAN OTRAS DISPOSICIONES,"['Jorge Enrique Benedetti Martelo', 'Gloria Inés Flórez Schneider', 'Didier Lobo Chinchilla', 'Dorina Hernández Palomino', 'Hernando González']",Cámara 439 2024C Senado,Cámara 2024 05 16 Senado,Ley Ordinaria,,La presente Ley tiene como objetivo declarar patrimonio cultural inmaterial de la Nación el Festival Nacional de la Tambora del Municipio de San Martín de Loba Bolívar Observaciones,,2024 05 16,,https://www.camara.gov.co/festival-tambora-san-martin-de-loba-bolivar
